company,sector,country,is_public,funding_efficiency,innovation_score,commercial_traction_score,technology_moat_score,risk_score,market_opportunity_score,founder_team_score,scalability_score,capital_intensity,global_expansion_score,simple_avg_score,weighted_score,topsis_score,ahp_score,rank_weighted,rank_topsis,rank_ahp,cluster_kmeans,cluster_hierarchical,cluster_dbscan,pca1,pca2,consensus_rank_score,final_rank
SpaceX,Space Technology,USA,False,100.0,51.954397394136805,100.0,100.0,97.35682819383258,65,100.0,100.0,0.0,100.0,81.43112255879694,85.84838640244514,0.7026362095019102,85.84838640244514,1,1,1,0,1,-1,4.341856743116649,2.0597809278307744,0.811729567667689,1
OpenAI,Artificial Intelligence,USA,False,9.963985594237695,78.0130293159609,100.0,81.42857142857143,95.59471365638767,95,77.77777777777779,100.0,30.252100840336134,94.11764705882352,76.21478256720951,78.74685150770647,0.7003201485419962,78.74685150770647,2,2,2,6,1,-1,2.7894028920159477,3.5091691297878156,0.7613240051165442,2
Quantinuum,Quantum Computing,USA,False,44.9779911964786,100.0,33.33333333333333,94.28571428571429,72.68722466960352,55,66.66666666666666,66.66666666666666,5.546218487394959,82.35294117647058,62.15167564823285,65.55739793714844,0.6576211057087722,65.55739793714844,4,3,4,0,1,-1,1.8600166655557018,2.7335659579796903,0.6561881172726707,3
Anthropic,Artificial Intelligence,USA,False,26.99579831932773,29.967426710097715,100.0,58.57142857142858,96.47577092511013,95,66.66666666666666,100.0,11.489185838269735,82.35294117647058,66.75192182073711,68.49203703807412,0.5315089050877062,68.49203703807413,3,5,3,6,1,-1,2.4816482585363158,1.9210117893151213,0.6388969307928307,4
Anduril Industries,Defence Technology,USA,False,9.744667097608275,9.201954397394138,100.0,82.85714285714285,98.23788546255507,80,66.66666666666666,100.0,30.775588924094226,82.35294117647058,65.98368465819318,65.2613652368962,0.46706423045550627,65.2613652368962,5,6,5,6,1,-1,2.2090578906809846,1.8674334224115787,0.5969488257949253,5
Quantum Computing Inc.,Quantum Computing,USA,True,0.0,100.0,100.0,0.0,0.0,55,68.57528906061046,0.0,100.0,60.71428571428572,48.42895747748962,49.30030883913455,0.6396524946683216,49.30030883913455,12,4,12,3,5,-1,-3.0349645224238877,4.741499589196805,0.5369979102744383,6
Palantir,Artificial Intelligence,USA,True,100.0,2.0053181913770484,1.7533086289041822,100.0,61.2404052630602,95,99.01982699030077,100.0,2.669419286858552,96.42857142857143,65.81168497890722,60.06403296366177,0.36234415111689705,60.06403296366177,6,9,6,5,3,0,3.834445895945003,-1.4613159921098078,0.5291514760807015,7
NVIDIA,Artificial Intelligence,USA,True,98.79935634209725,1.9046647608454075,1.7586024351508733,91.69849135098347,43.2810687712781,95,100.0,90.01749145472205,0.0,100.0,62.245967511507715,56.44416271466291,0.3497480147988292,56.444162714662916,7,10,7,5,3,0,3.4026465169291993,-1.4960143912554773,0.5000335434422891,8
Microsoft,Artificial Intelligence,USA,True,84.83180154858199,1.1282170074265114,1.050291159343568,86.3985832397168,71.98354912403661,95,99.0269971678397,84.15004677521655,11.91714876113152,85.71428571428571,62.1200920497579,56.16733115111246,0.33278259630908963,56.167331151112464,8,15,8,5,3,0,3.0558249859428868,-1.4067245713494307,0.4930060969505141,9
Blue Origin,Space Technology,USA,False,25.210084033613445,25.0814332247557,33.33333333333333,77.14285714285715,100.0,65,55.55555555555556,100.0,12.464985994397761,61.76470588235294,55.55529551668659,53.567277681973984,0.3700428616283804,53.56727768197399,9,8,9,6,0,-1,1.7167488475686183,0.8795743562468589,0.48598380226233207,10
Boston Dynamics,Robotics,USA,False,0.0,42.182410423452765,33.33333333333333,77.14285714285715,70.48458149779736,75,55.55555555555556,66.66666666666666,100.0,61.76470588235294,58.21301105020158,51.27738237962369,0.4048992567135659,51.27738237962369,11,7,11,6,4,-1,-0.11720639519375498,2.067666205951912,0.4804114536714357,11
Alphabet (Google),Artificial Intelligence,USA,True,78.03028177217676,1.0808098815195473,1.0873478030704078,77.9706557697308,69.34663364180298,95,98.511714661239,76.16625340322891,7.7844918971894215,75.0,57.99781888299579,53.089443385236265,0.31501729976197196,53.08944338523627,10,16,10,5,3,0,2.580747603521516,-1.4864119708201837,0.46613129362524547,12
